AgentId,Start,Seed,Floor,Reward,Steps,Time
12,0,87,1,1.2,801,15133.687686599998
47,0,57,1,1.2,801,15094.5662615
48,0,81,1,1.2,801,15092.638646099998
4,0,13,1,1.0,801,15134.764152
13,0,68,2,2.4,1001,15123.6266088
33,0,67,1,1.0,801,15103.1690801
0,0,78,2,2.2,1101,15137.616118299999
45,0,82,0,0.0,601,15089.7436986
6,0,24,3,3.6,1301,15127.5902761
40,0,18,0,0.0,396,15091.968949999999
38,0,18,1,1.2,801,15092.6661596
39,0,35,0,0.0,601,15090.286567399999
22,0,97,2,2.4,1201,15107.3485009
26,0,58,3,3.8,1401,15102.671408
28,0,7,2,2.6,1101,15100.246284399998
15,0,9,2,2.4,1001,15113.494655299999
8,0,92,3,3.8,1301,15117.028074099999
5,0,37,1,1.0,801,15119.7080126
20,0,5,2,2.6,1001,15104.310452
9,0,95,1,1.2,801,15113.8906398
30,0,47,1,1.2,801,15092.354785799998
25,0,53,1,1.0,801,15098.623979599999
21,0,79,1,1.2,801,15096.3881355
2,0,12,1,1.2,801,15118.0760894
7,0,31,2,2.3,1001,15110.5998406
3,0,50,2,2.2,1001,15112.1975212
27,0,20,2,2.3,1001,15084.635647399999
29,0,14,1,1.2,801,15081.7085235
11,0,7,1,1.2,801,15101.698280499999
10,0,23,3,4.0,1201,15099.5306138
32,0,8,2,2.4,1201,15074.745867599999
36,0,97,2,2.3,1201,15069.087834
16,0,67,5,6.5,1801,15086.0355081
41,0,21,2,2.6,1101,15058.9162811
40,0,26,2,2.4,1001,15059.709129199999
46,0,45,1,1.2,801,15052.4891821
24,0,44,1,1.2,801,15071.2708647
19,0,61,1,1.0,801,15075.442177699999
35,0,38,2,2.3,1101,15059.124536599998
34,0,36,0,0.0,601,15063.5547395
17,0,77,2,2.2,1001,15076.889974
31,0,28,2,2.3,1001,15061.0769057
45,0,29,1,1.2,801,15041.700012599998
44,0,9,2,2.2,1001,15044.6350208
43,0,5,2,2.4,1001,15041.301777899998
37,0,18,1,1.1,801,15046.645377499999
23,0,90,1,1.1,801,15064.007078199998
14,0,25,0,0.0,601,15068.3822904
18,0,72,1,1.2,801,15063.9197995
39,0,28,2,2.4,1101,15040.920602
42,0,97,2,2.4,1101,15039.1738859
12,0,20,2,2.6,1001,15067.352258399998
47,0,39,1,1.2,801,15028.230955699999
48,0,8,1,1.1,801,15025.5674834
4,0,43,1,1.2,801,15067.997995599999
33,0,53,0,0.0,601,15037.377426500001
1,0,90,0,0.0,601,15067.8767536
38,0,54,1,1.1,801,15027.529414800001
5,0,60,2,2.4,1301,15055.380424899999
49,0,86,1,1.0,801,15011.148565099998
9,0,52,2,2.6,1101,15049.576658599999
30,0,0,1,1.2,801,15028.041846499998
25,0,8,2,2.3,1001,15034.360465099999
13,0,20,2,2.2,1001,15042.634973499999
21,0,1,1,1.2,801,15030.787444399999
2,0,0,2,2.6,1001,15052.4707134
15,0,60,2,2.4,1101,15032.735654299999
0,0,93,3,3.6,1301,15048.905360899998
29,0,43,2,2.6,1001,15017.2200554
34,0,26,3,3.7,1201,15015.639609799999
11,0,7,1,1.2,801,15037.0137645
20,0,97,2,2.4,1001,15023.889570899999
28,0,24,3,3.6,1601,15011.045213099998
14,0,46,0,0.0,601,15021.1760603
46,0,93,1,1.2,801,14988.470985299999
7,0,51,1,1.1,801,15029.629699699999
3,0,66,2,2.3,1001,15031.253540799999
22,0,14,3,3.7,1201,15009.567975099999
24,0,47,1,1.0,801,15006.5226157
27,0,40,1,1.2,801,15003.2541546
19,0,63,2,2.4,1001,15010.5196693
6,0,8,1,1.0,801,15022.044768
33,0,83,2,2.3,1001,14989.686079000001
45,0,27,2,2.6,1001,14976.4584538
1,0,30,1,1.0,801,15020.0000329
8,0,32,0,0.0,601,15011.877433799998
37,0,74,1,1.1,801,14982.1701566
